Date,High,Low,Open,Close,Volume,Adj Close
2021-01-04,744.489990234375,717.1900024414062,719.4600219726562,729.77001953125,48638200,729.77001953125
2021-01-05,740.8400268554688,719.2000122070312,723.6599731445312,735.1099853515625,32245200,735.1099853515625
2021-01-06,774.0,749.0999755859375,758.489990234375,755.97998046875,44700000,755.97998046875
2021-01-07,816.989990234375,775.2000122070312,777.6300048828125,816.0399780273438,51498900,816.0399780273438
2021-01-08,884.489990234375,838.3900146484375,856.0,880.02001953125,75055500,880.02001953125
2021-01-11,854.4299926757812,803.6199951171875,849.4000244140625,811.1900024414062,59301600,811.1900024414062
2021-01-12,868.0,827.3400268554688,831.0,849.4400024414062,46270700,849.4400024414062
2021-01-13,860.469970703125,832.0,852.760009765625,854.4099731445312,33312500,854.4099731445312
2021-01-14,863.0,838.75,843.3900146484375,845.0,31266300,845.0
2021-01-15,859.9000244140625,819.0999755859375,852.0,826.1599731445312,38777600,826.1599731445312
2021-01-19,850.0,833.0,837.7999877929688,844.5499877929688,25367000,844.5499877929688
2021-01-20,859.5,837.280029296875,858.739990234375,850.4500122070312,25665900,850.4500122070312
2021-01-21,855.719970703125,841.4199829101562,855.0,844.989990234375,20521100,844.989990234375
2021-01-22,848.0,828.6199951171875,834.3099975585938,846.6400146484375,20066500,846.6400146484375
2021-01-25,900.4000244140625,838.8200073242188,855.0,880.7999877929688,41173400,880.7999877929688
2021-01-26,895.9000244140625,871.5999755859375,891.3800048828125,883.0900268554688,23131600,883.0900268554688
2021-01-27,891.5,858.6599731445312,870.3499755859375,864.1599731445312,27334000,864.1599731445312
2021-01-28,848.0,801.0,820.0,835.4299926757812,26378000,835.4299926757812
2021-01-29,842.4099731445312,780.0999755859375,830.0,793.530029296875,34990800,793.530029296875
2021-02-01,842.0,795.5599975585938,814.2899780273438,839.8099975585938,25391400,839.8099975585938
2021-02-02,880.5,842.2000122070312,844.6799926757812,872.7899780273438,24346200,872.7899780273438
2021-02-03,878.0800170898438,853.0599975585938,877.02001953125,854.6900024414062,18343500,854.6900024414062
2021-02-04,856.5,833.4199829101562,855.0,849.989990234375,15812700,849.989990234375
